Sample ID,Sequence Round,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Region:Site
Floreana_567,2,No tag,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_581,2,No tag,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_584,2,No tag,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_589,2,No tag,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_590,2,No tag,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_5E,2,5E,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Gorgona_121,2,121,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_123,2,123,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_124,2,124-Li,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_125,2,125,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_126,2,126,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_127,2,127,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_128,2,128,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_129,2,129,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_130,2,130-li,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_131,2,131,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_132,2,132,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_134,2,134,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_135,2,135,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_142,2,142,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_143,2,143,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_144,2,144,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
Gorgona_145,2,145,NA,NA,Colombia,Gorgona,Playa Blanca S,NA,2.92975,-78.20268,Gorgona:Playa Blanca S
